CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2015,16,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2016,33,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2017,10,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2018,39,
IRN,Iran,Inflows of foreign population by nationality,Total,Iceland,2019,44,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2000,414,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2002,420,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2003,400,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2004,537,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2005,395,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2006,424,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2007,377,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2008,483,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2009,611,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2010,744,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2011,940,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2012,1378,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2013,1397,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2014,1205,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2015,1190,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2016,1045,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2017,1304,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2018,1353,
IRN,Iran,Inflows of foreign population by nationality,Total,Italy,2019,1648,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2006,408,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2007,575,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2008,450,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2009,450,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2010,449,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2011,360,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2012,384,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2013,273,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2014,334,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2015,448,
IRN,Iran,Inflows of foreign population by nationality,Total,Japan,2016,475,
