Country of birth/nationality,Variable,Gender,Country,Year,Value
Iran,Inflows of foreign population by nationality,Women,Germany,2009,1741
Iran,Inflows of foreign population by nationality,Women,Germany,2010,2361
Iran,Inflows of foreign population by nationality,Women,Germany,2011,3053
Iran,Inflows of foreign population by nationality,Women,Germany,2012,3561
Iran,Inflows of foreign population by nationality,Women,Germany,2013,3847
Iran,Inflows of foreign population by nationality,Women,Germany,2014,3322
Iran,Inflows of foreign population by nationality,Women,Germany,2015,5490
Iran,Inflows of foreign population by nationality,Women,Germany,2016,7544
Iran,Inflows of foreign population by nationality,Women,Germany,2017,6003
Iran,Inflows of foreign population by nationality,Women,Germany,2018,8508
Iran,Inflows of foreign population by nationality,Women,Germany,2019,7229
Iran,Inflows of foreign population by nationality,Total,Germany,2000,7753
Iran,Inflows of foreign population by nationality,Total,Germany,2001,6740
Iran,Inflows of foreign population by nationality,Total,Germany,2002,6105
Iran,Inflows of foreign population by nationality,Total,Germany,2003,5017
Iran,Inflows of foreign population by nationality,Total,Germany,2004,4219
Iran,Inflows of foreign population by nationality,Total,Germany,2005,3377
Iran,Inflows of foreign population by nationality,Total,Germany,2006,2851
Iran,Inflows of foreign population by nationality,Total,Germany,2007,2632
Iran,Inflows of foreign population by nationality,Total,Germany,2008,3257
Iran,Inflows of foreign population by nationality,Total,Germany,2009,3951
Iran,Inflows of foreign population by nationality,Total,Germany,2010,5695
Iran,Inflows of foreign population by nationality,Total,Germany,2011,7175
Iran,Inflows of foreign population by nationality,Total,Germany,2012,8215
Iran,Inflows of foreign population by nationality,Total,Germany,2013,8250
Iran,Inflows of foreign population by nationality,Total,Germany,2014,7122
Iran,Inflows of foreign population by nationality,Total,Germany,2015,17187
Iran,Inflows of foreign population by nationality,Total,Germany,2016,23009
Iran,Inflows of foreign population by nationality,Total,Germany,2017,13676
Iran,Inflows of foreign population by nationality,Total,Germany,2018,19400
Iran,Inflows of foreign population by nationality,Total,Germany,2019,16183
Iran,Inflows of foreign population by nationality,Women,Hungary,2008,176
Iran,Inflows of foreign population by nationality,Women,Hungary,2009,182
Iran,Inflows of foreign population by nationality,Women,Hungary,2010,174
Iran,Inflows of foreign population by nationality,Women,Hungary,2011,175
Iran,Inflows of foreign population by nationality,Women,Hungary,2012,140
Iran,Inflows of foreign population by nationality,Women,Hungary,2013,124
Iran,Inflows of foreign population by nationality,Women,Hungary,2014,158
Iran,Inflows of foreign population by nationality,Women,Hungary,2015,231
Iran,Inflows of foreign population by nationality,Women,Hungary,2016,308
Iran,Inflows of foreign population by nationality,Women,Hungary,2017,471
Iran,Inflows of foreign population by nationality,Women,Hungary,2018,358
Iran,Inflows of foreign population by nationality,Women,Hungary,2019,215
Iran,Inflows of foreign population by nationality,Total,Hungary,2001,0
Iran,Inflows of foreign population by nationality,Total,Hungary,2002,0
Iran,Inflows of foreign population by nationality,Total,Hungary,2003,0
Iran,Inflows of foreign population by nationality,Total,Hungary,2004,0
Iran,Inflows of foreign population by nationality,Total,Hungary,2005,188
Iran,Inflows of foreign population by nationality,Total,Hungary,2006,433
Iran,Inflows of foreign population by nationality,Total,Hungary,2007,232
Iran,Inflows of foreign population by nationality,Total,Hungary,2008,476
Iran,Inflows of foreign population by nationality,Total,Hungary,2009,454
Iran,Inflows of foreign population by nationality,Total,Hungary,2010,403
Iran,Inflows of foreign population by nationality,Total,Hungary,2011,433
Iran,Inflows of foreign population by nationality,Total,Hungary,2012,351
Iran,Inflows of foreign population by nationality,Total,Hungary,2013,279
Iran,Inflows of foreign population by nationality,Total,Hungary,2014,349
Iran,Inflows of foreign population by nationality,Total,Hungary,2015,492
Iran,Inflows of foreign population by nationality,Total,Hungary,2016,623
Iran,Inflows of foreign population by nationality,Total,Hungary,2017,1009
Iran,Inflows of foreign population by nationality,Total,Hungary,2018,771
Iran,Inflows of foreign population by nationality,Total,Hungary,2019,467
Iran,Inflows of foreign population by nationality,Women,Iceland,2000,0
Iran,Inflows of foreign population by nationality,Women,Iceland,2001,2
Iran,Inflows of foreign population by nationality,Women,Iceland,2002,0
Iran,Inflows of foreign population by nationality,Women,Iceland,2003,1
Iran,Inflows of foreign population by nationality,Women,Iceland,2004,0
Iran,Inflows of foreign population by nationality,Women,Iceland,2005,1
